Scenario Set,Scenario Ind,lx,ly,var,Pi1,Pi2,Pi3,Pi1 Target,Pi2 Target,Pi3 Target
Original Grid,1,0.0101088689874,0.0356036561743,1.53891218402,0.492063241194,0.516185072818,0.020008265101975,0.5,0.5,0.02
Original Grid,2,0.0327138602734,0.0948839187622,1.42385101318,0.50821632447,0.500387803862,0.04732122796875,0.5,0.5,0.047
Original Grid,3,0.0654056581552,0.189852885436,1.6987160407,0.520166652639,0.504089359525,0.0739181476405,0.5,0.5,0.073
Original Grid,4,0.0866155326366,0.408458709717,2.48566055298,0.509795109555,0.50825612886,0.0977652500915,0.5,0.5,0.1
Original Grid,5,0.0257577300072,0.0226407051086,1.84281635284,0.810889873354,0.487385266199,0.019838555070775,0.83,0.5,0.02
Original Grid,6,0.0675916706678,0.0610315911472,2.00725954771,0.838856283164,0.501216855906,0.04553643768375,0.83,0.5,0.047
Original Grid,7,0.11125832051,0.104083750397,2.19631788135,0.835392167829,0.490955902424,0.07132579621125,0.83,0.5,0.073
Original Grid,8,0.168595300987,0.196026101708,3.04205968976,0.829088880053,0.505112064828,0.1011077252205,0.83,0.5,0.1
Original Grid,9,0.0328630805016,0.0143709480762,3.62738037109,1.2153557675,0.521382163213,0.019903297602425,1.17,0.5,0.02
Original Grid,10,0.085475737229,0.0429517924786,3.04391002655,1.15731467429,0.498958543043,0.04664941884525,1.17,0.5,0.047
Original Grid,11,0.142654913943,0.0776595249772,3.34388232231,1.14029330114,0.500366857883,0.07222393095625,1.17,0.5,0.073
Original Grid,12,0.202946394682,0.119612693787,4.13890838623,1.16059735375,0.508195141729,0.099886158822,1.17,0.5,0.1
Original Grid,13,0.0318238344043,0.00654146075249,7.43154144287,1.46862357534,0.486748501712,0.01965437020565,1.5,0.5,0.02
Original Grid,14,0.0955412170151,0.0338019393384,4.80603587627,1.49211926632,0.514649463711,0.04795196905625,1.5,0.5,0.047
Original Grid,15,0.159195676446,0.0514073371887,5.17254257202,1.53143091789,0.477725461993,0.07370726450275,1.5,0.5,0.073
Original Grid,16,0.231752961874,0.081458568573,6.17718505859,1.51925135883,0.487609311248,0.099375187551,1.5,0.5,0.1
Original Grid,17,0.00699239969254,0.0457013845444,2.17039489746,0.484703554155,0.66566269092,0.019956625105275,0.5,0.67,0.02
Original Grid,18,0.0275276342873,0.1338759996,1.88457763195,0.501854018999,0.650724126179,0.04724965416525,0.5,0.67,0.047
Original Grid,19,0.0550172788122,0.314821088232,2.58253273437,0.503897702964,0.661165889506,0.073464282571,0.5,0.67,0.073
Original Grid,20,0.0555468119314,0.325896186115,2.54346396143,0.500011462315,0.64841746115,0.084649537978,0.5,0.67,0.073
Original Grid,21,0.0189202874899,0.0274424403906,2.41515684128,0.822809545128,0.650195985395,0.0193511899594,0.83,0.67,0.02
Original Grid,22,0.0543016875163,0.0810960419476,2.58779944479,0.836838689689,0.661948939691,0.0469274930665,0.83,0.67,0.047
Original Grid,23,0.092228251975,0.150857869536,3.15933537483,0.837786710653,0.66495031272,0.0719613754385,0.83,0.67,0.073
Original Grid,24,0.131481437478,0.266269292682,4.08120290935,0.800739098018,0.652906798936,0.09711782416575,0.83,0.67,0.1
Original Grid,25,0.0265076756477,0.0189336836338,4.13278198242,1.21581117667,0.688288214769,0.019335098527025,1.17,0.67,0.02
Original Grid,26,0.0733356890269,0.0575966611505,3.80473276973,1.16357426284,0.660722481496,0.048005197595,1.17,0.67,0.047
Original Grid,27,0.133150638081,0.118942752481,4.92610192299,1.1638679754,0.685419960541,0.07583935698225,1.17,0.67,0.073
Original Grid,28,0.195470750332,0.557088851929,10.1093597412,1.16098862947,0.670047881975,0.10350366690275,1.17,0.67,0.1
Original Grid,29,0.0287096723914,0.012891292572,6.13121604919,1.46453744928,0.657536255721,0.01927159540465,1.5,0.67,0.02
Original Grid,30,0.0842101573944,0.0485773086548,5.65114593506,1.47224723154,0.698046786296,0.047750482286,1.5,0.67,0.047
Original Grid,31,0.143483266467,0.0818759202957,6.24388623238,1.44128588256,0.655290757738,0.07313294282625,1.5,0.67,0.073
Original Grid,32,0.213360190392,0.134006500244,9.20516967773,1.47729281867,0.658997270665,0.0998123400625,1.5,0.67,0.1
Original Grid,33,0.00593390734866,0.0571290925145,2.78465354443,0.498833257959,0.834665497563,0.0208951339284,0.5,0.83,0.02
Original Grid,34,0.024315339746,0.175146407448,2.33193317056,0.498311215978,0.816638369894,0.04640302729125,0.5,0.83,0.047
Original Grid,35,0.0394837044905,0.376027804357,3.11611386392,0.505614295837,0.844355184333,0.07165358104725,0.5,0.83,0.073
Original Grid,36,0.0505027257304,0.313392577804,3.07073979969,0.558379860956,0.787376198316,0.0798283455095,0.5,0.83,0.073
Original Grid,37,0.0152943432331,0.035248875618,2.81414318085,0.79808904359,0.811262176102,0.020096304844275,0.83,0.83,0.02
Original Grid,38,0.0477996468544,0.0958127975464,3.11162567139,0.849596974286,0.805167154149,0.04659029895075,0.83,0.83,0.047
Original Grid,39,0.0869415700436,0.250734329224,4.46739959717,0.80044683817,0.837764576242,0.0730717368745,0.83,0.83,0.073
Original Grid,40,0.0968194890041,0.456558885345,5.78491174212,0.802391336758,0.821788027119,0.09315388216725,0.83,0.83,0.1
Original Grid,41,0.0239997771569,0.0252683907747,4.24851685762,1.16634393301,0.826797537921,0.02029187684805,1.17,0.83,0.02
Original Grid,42,0.0689869867638,0.0764630734921,4.68443319201,1.18203736372,0.83721102159,0.04667904468675,1.17,0.83,0.047
Original Grid,43,0.128884711303,0.167141236365,6.56899011135,1.16249108502,0.830835226269,0.076892409562,1.17,0.83,0.073
Original Grid,44,0.162354071392,0.504046302289,10.982909739,1.1815774715,0.810753834156,0.10139625209025,1.17,0.83,0.1
Original Grid,45,0.0277679236606,0.0168962292373,6.68146032095,1.51957205481,0.807532703286,0.019941462348925,1.5,0.83,0.02
Original Grid,46,0.0785837173462,0.0603656768799,6.60403442383,1.48235300166,0.849279545366,0.04648887235925,1.5,0.83,0.047
Original Grid,47,0.140948712826,0.113283157349,8.99876403809,1.50246908935,0.838847969438,0.07269876878525,1.5,0.83,0.073
Original Grid,48,0.190262258053,0.161457061768,12.7835712433,1.53870521418,0.819020653149,0.098536051311,1.5,0.83,0.1
Original Grid,49,0.00355030409992,0.0661243200302,3.68647766113,0.484524028164,0.97007485189,0.0196864859689,0.5,1.0,0.02
Original Grid,50,0.0207279846072,0.204983212054,2.67260962725,0.494680049055,0.974091018918,0.04620222767675,0.5,1.0,0.047
Original Grid,51,0.0342340190495,0.355268505897,3.22595637445,0.512974121191,0.954356367511,0.06575805123975,0.5,1.0,0.073
Original Grid,52,0.0413126810698,0.357048981726,3.57972917752,0.563791344915,0.975782016993,0.0680917900775,0.5,1.0,0.073
Original Grid,53,0.013421356678,0.0437241792679,3.51313781738,0.828247549938,1.05119011231,0.01985375008365,0.83,1.0,0.02
Original Grid,54,0.0424890574068,0.122945323586,3.69413101673,0.840186645915,0.994724570475,0.0459725497315,0.83,1.0,0.047
Original Grid,55,0.0797853531549,0.293165187351,5.67602516711,0.833533906112,1.00711185897,0.073608419323,0.83,1.0,0.073
Original Grid,56,0.0943084753926,0.335222688286,5.63162021201,0.826720137065,0.892265318198,0.090179973062,0.83,0.83,0.1
Original Grid,57,0.0200887918472,0.0299534797668,4.57715606689,1.14222681945,0.997744949078,0.019790027604725,1.17,1.0,0.02
Original Grid,58,0.0615196153522,0.0906998030841,5.42517250776,1.18043413702,0.995313687705,0.047253250656,1.17,1.0,0.047
Original Grid,59,0.110663175583,0.222616195679,8.24291610718,1.11938980065,1.01774049826,0.0732483539505,1.17,1.0,0.073
Original Grid,60,0.134139358997,0.346694946289,11.4152679443,1.15028811568,1.01659132593,0.09666541412175,1.17,1.0,0.1
Original Grid,61,0.0249500498176,0.0222505331039,7.30899047852,1.54023482488,1.04128194698,0.0197345159178,1.5,1.0,0.02
Original Grid,62,0.0762032270432,0.0754985809326,7.78253173828,1.49665008447,1.02121652559,0.04727425588825,1.5,1.0,0.047
Original Grid,63,0.135751843452,0.147793769836,11.4970321655,1.50369318648,1.00657743924,0.07283361911825,1.5,1.0,0.073
Original Grid,64,0.153904395581,0.168626551026,12.6324595741,1.48797132636,0.962994091911,0.08053216899125,1.5,1.0,0.073
Interpolating Grid,65,0.0285021066666,0.0536804199219,0.950378417969,0.473824871062,0.373975575042,0.03328694658475,0.67,,0.033
Interpolating Grid,66,0.0359795093536,0.277273178101,2.70519256592,0.500297676188,0.823016333892,0.05970090024075,0.67,,0.06
Interpolating Grid,67,0.0867773294449,0.410594463348,2.51427555084,0.500092036648,0.511716523165,0.08692199083575,0.67,,0.087
Interpolating Grid,68,0.01,0.05,3.0,0.66579591762,0.96868191984,0.021166464386125,0.67,,0.033
Interpolating Grid,69,0.0243700649589,0.0541515350342,1.42177009583,0.559624134242,0.498932637229,0.03173068399975,0.67,,0.033
Interpolating Grid,70,0.0298965163925,0.470862702093,5.08506798032,0.645370440676,1.46563600386,0.04625156452325,0.67,,0.033
Interpolating Grid,71,0.0447339477761,0.354082521074,4.72340377414,0.672325985323,1.18938030881,0.060239687228,0.67,,0.06
Interpolating Grid,72,0.063,0.31,4.0,0.66582890855,0.890684113555,0.07353649140575,0.67,,0.087
Interpolating Grid,73,0.0859453843136,0.400392631944,3.79214616185,0.639714667293,0.697310906496,0.086317486692,0.67,,0.087
Interpolating Grid,74,0.162030215841,0.18853815645,1.99274387956,0.699413805105,0.428437442829,0.10077380288225,0.67,,0.087
Interpolating Grid,75,0.024172395115,0.130540729391,4.07746999808,0.780155837862,1.3532086977,0.03545746208475,0.67,,0.033
Interpolating Grid,76,0.088839173317,0.0940170288086,2.25454711914,0.823001300415,0.525499958096,0.06019694944025,0.67,,0.06
Interpolating Grid,77,0.0939431470347,0.305015278592,5.50237921606,0.83244427799,0.892147028505,0.08659225930425,0.67,,0.087
Interpolating Grid,78,0.0441342592239,0.00270843505859,3.31840515137,1.08580840154,0.273164309855,0.019402026372475,1.0,,0.033
Interpolating Grid,79,0.0471159107983,0.0374610349536,2.79605165124,1.02865991503,0.588678935258,0.03334032910225,1.0,,0.033
Interpolating Grid,80,0.0378471033814,0.429779088757,11.2215265527,1.03317715758,2.4167664483,0.04718974593325,1.0,,0.06
Interpolating Grid,81,0.0857977253036,0.0772865049075,3.02445388958,1.00578727721,0.602871875303,0.05752353942475,1.0,,0.06
Interpolating Grid,82,0.10369220376,0.180644035339,5.22473907471,0.992391838024,0.836011513226,0.0734045063405,1.0,,0.06
Interpolating Grid,83,0.109619051218,0.382635116577,9.32235717773,1.02325339139,1.03498374514,0.08677033029275,1.0,,0.087
Interpolating Grid,84,0.133059208477,0.375841241097,8.23008954235,0.993642597345,0.864059554986,0.10084334393475,1.0,,0.087
Interpolating Grid,85,0.0533229410648,0.0398464202881,3.85652160645,1.19552363373,0.674581553504,0.034697469349,1.33,,0.033
Interpolating Grid,86,0.103414386511,0.0882377624512,4.4375,1.17785268956,0.690291806244,0.06025844124775,1.33,,0.06
Interpolating Grid,87,0.130311489105,0.250431060791,10.3953552246,1.18204497056,1.00999634216,0.08741127933875,1.33,,0.087
Interpolating Grid,88,0.0328630805016,0.0143709480762,3.62738037109,1.21848302534,0.521464075018,0.02012455104315,1.33,,0.033
Interpolating Grid,89,0.0845304890536,0.00257166475058,5.36783879995,1.43286882991,0.23924777335,0.033398441685,1.33,,0.033
Interpolating Grid,90,0.0685999393463,0.0588264465332,5.71757507324,1.38022796202,0.849146961892,0.045712854971,1.33,,0.033
Interpolating Grid,91,0.109292283363,0.0791726075113,5.5262821503,1.33952716645,0.720390126777,0.06185317873925,1.33,,0.06
Interpolating Grid,92,0.147033601999,0.0872414112091,5.2901058197,1.33244427994,0.618441201806,0.07497580931375,1.33,,0.087
Interpolating Grid,93,0.136722326279,0.228765487671,12.1152305603,1.33529085471,1.07300963368,0.087187097478,1.33,,0.087
Interpolating Grid,94,0.183530310169,0.0901373624802,4.82696121931,1.30966191803,0.530857242717,0.086550419233,1.33,,0.087
Interpolating Grid,95,0.113182067871,0.0612545013428,6.33354949951,1.51225438894,0.678118828751,0.058916795742,1.33,,0.06
Interpolating Grid,96,0.172645225283,0.149458949918,11.3471253339,1.5073484277,0.844196697427,0.085286655166,1.33,,0.087
